,Unnamed: 0.1,Unnamed: 0,GalaxyID,n_r,pa_r,q_r,re_r,mag_r,flag_r,MassType_Star,MassType_Gas,MassType_DM,MassType_BH,BlackHoleMass,InitialMassWeightedStellarAge,StarFormationRate,xc_centroid,yc_centroid,ellipticity_centroid,elongation_centroid,orientation_centroid,xc_asymmetry,yc_asymmetry,ellipticity_asymmetry,elongation_asymmetry,orientation_asymmetry,flux_circ,flux_ellip,rpetro_circ,rpetro_ellip,rmax_circ,rmax_ellip,rhalf_circ,rhalf_ellip,r20,r80,gini,m20,gini_m20_bulge,sn_per_pixel,concentration,asymmetry,smoothness,multimode,intensity,deviation,outer_asymmetry,shape_asymmetry,sersic_amplitude,sersic_rhalf,sersic_n,sersic_xc,sersic_yc,sersic_ellip,sersic_theta,sky_mean,sky_median,sky_sigma,xmin_stamp,ymin_stamp,xmax_stamp,ymax_stamp,nx_stamp,ny_stamp,flag,flag_sersic,DiscToTotal
0,0,0.0,2.0,1.0195,33.6793,0.4366,2.769,17.2393,0.0,73412665000.0,0.0,121672827000.0,869601020.0,788473220.0,9.8952465,0.0,167.20767248244994,167.60088155726106,0.1666738292310445,1.2000103141813554,1.548634785085548,167.27819300866688,167.83563721864564,0.1667754030241587,1.2001566007886275,1.5483872229329751,0.6341078816652689,0.6296611769222846,19.52217615083611,20.54332096533356,81.34967803056988,83.73861358233437,10.036365420070066,10.741440989201598,4.562139800483034,15.913081299989262,0.5263980219055516,-1.5542337901022012,-0.2772457750266941,0.1960329507065343,2.712928460479645,0.0779121258542531,0.0328335898177315,0.0,0.0,0.0494114363530696,0.1026787724290367,0.1255267090278011,0.0005143627270769,11.805817649743508,1.2625531843546711,167.24633995026943,167.66733763550545,0.3780275033650476,1.1487862205595163,-3.822890720033692e-09,-6.79460299463111e-09,2.397076400915992e-07,26.0,21.0,311.0,306.0,286.0,286.0,0.0,0.0,0.3478626074809964
1,1,1.0,13632.0,2.4504,-39.9075,0.7375,3.021,17.1314,0.0,72376558000.0,0.0,136894054000.0,121930848.0,77330176.0,9.399528,0.0,168.57591355886964,168.63934363538982,0.1762930458101529,1.2140239862167306,1.4126770385171348,169.07443197973652,168.39310131733373,0.1759030745260599,1.213449497369375,1.413341613299862,0.6276459510707346,0.6371333309066289,25.040028107257427,29.429290282513385,106.4465545507345,109.86838936981286,12.173768678834294,13.632858204687013,4.6937449642449325,20.536521869424465,0.593847048660064,-1.7806119966559029,0.2135070045498572,0.1305913402930583,3.205037017935677,0.0680314528651775,0.0275089764867001,0.0,0.0,0.0472666396821967,0.1046411190423849,0.1544695005402729,0.0002736891513152,13.355807041706244,1.6668070242045463,168.76752860019943,168.28337619078664,0.196729000455689,0.635924587640634,5.30122209113829e-09,6.051278236453173e-09,2.413341846745423e-07,12.0,9.0,323.0,320.0,312.0,312.0,0.0,0.0,0.5763463370998562
2,2,2.0,21794.0,1.2601,10.5816,0.5013,4.102,17.693,0.0,42687422000.0,0.0,102476636000.0,59539836.0,48146040.0,8.438926,0.0,167.03010052490865,167.06388480049236,0.1423161684873928,1.1659308048706067,0.8199366369773717,167.24212001861326,167.34822406114438,0.1424487906711297,1.1661111186381647,0.820068060850311,0.4111375048742409,0.409111290377296,30.222563920190773,31.469502863695425,99.99309115282716,109.66943918450032,14.67461840626653,15.476862421976389,6.034902555866607,24.329180647252265,0.528066231927145,-1.884569337568524,-0.0400656010256454,0.1011035347063795,3.027286105317098,0.0644351575950597,0.0064974567515957,0.0,0.0,0.0083738117143435,0.0945590659107924,0.093945344969215,0.0001477632018876,16.611087909106168,1.4399519363684192,167.2170733400294,167.40038813410564,0.2937048788097424,0.8384715223270914,-3.153730765057831e-09,-3.5845184708222783e-09,1.5343863577888774e-07,12.0,18.0,315.0,321.0,304.0,304.0,0.0,0.0,0.6161944728723645
3,3,3.0,23302.0,3.4987,54.9974,0.5833,1.466,17.4702,0.0,46032544000.0,0.0,130640749000.0,48933812.0,30662012.0,7.254252,0.0,168.9416162648476,166.96914399060825,0.0386587680726909,1.040213367313069,-0.1710596385458347,168.82692078431407,166.86220901660346,0.0386325339277434,1.0401849815925015,-0.1699746685461069,0.449261879121674,0.4483949184782167,14.659341649781052,14.789284673018066,51.25097052627494,52.949691168777925,7.110065111885181,7.208159860176875,3.090013571302795,11.80153297084579,0.5535710291640249,-1.7097127387422768,-0.0349924776896788,0.2116533386604386,2.9098901860069164,0.0674366835582321,0.0070117538962269,0.0,0.0,0.0715992012467075,0.0677034640716217,0.0840473180243918,0.0005519311648983,8.71569417357854,1.6524269975891028,168.7186622033191,166.74440100326865,0.3022121320316773,2.762716883443914,5.520966462375089e-09,1.1710413913472769e-08,1.6627253555959986e-07,44.0,40.0,301.0,297.0,258.0,258.0,0.0,0.0,0.7499123975631279
4,4,4.0,24478.0,1.0084,62.1109,0.4284,4.783,18.1947,0.0,25326096400.0,0.0,95195652000.0,66047836.0,59013748.0,9.088057,0.0,168.87725333127645,169.1150401236903,0.1328993495742565,1.1532686540011283,-1.4831444471039783,167.76000412848128,168.6885397864247,0.1310795118800367,1.1508532871214103,-1.4870566285055715,0.2638925150590394,0.263557683412452,37.90976808735399,39.94009447889069,100.15043872212772,112.56233988239208,18.4012261981266,19.44272744835362,8.184905014391443,29.87091710388651,0.4864014388355513,-1.8113489067433903,-0.297048085390851,0.065915994891748,2.811174564092613,0.1593239717273893,0.0085836356275095,0.0,0.0,0.074282551293178,0.1961194604978197,0.0963592663831034,7.131636028820817e-05,19.33133598685028,0.9958826652031908,168.0659991707289,168.68877008760748,0.2096983289614238,1.6172185996734003,2.850382678226666e-10,4.145836822224256e-09,9.079094557100793e-08,32.0,31.0,307.0,306.0,276.0,276.0,0.0,0.0,0.4537726693839186
5,5,5.0,26264.0,1.2453,80.7296,0.6343,1.483,18.0783,0.0,36627849000.0,0.0,63841882000.0,100942200.0,73607744.0,9.888254,0.0,167.5728989905748,167.39151784560755,0.0825733613048405,1.0900054105931385,1.5468822677988423,167.535794540655,167.3802185848334,0.0825649346353151,1.0899953988596405,1.5468466745219978,0.2793071282493971,0.278540052829777,11.29951656683968,11.535636408993357,38.45906943382559,41.52560293813516,5.75538463472702,5.939721249793741,2.85488279176772,9.004327050777842,0.4839464633369713,-1.5647131142073845,-0.4801188183362748,0.2295431227106727,2.494314890072851,0.0471954630015666,0.0695729556918639,0.0,0.0,0.0666532409005008,0.0657001385197708,0.111773969921564,0.0007117645020654,6.567003587628252,1.088749964960667,167.51293073992093,167.37288868282312,0.2959390498039052,1.4589742594613706,-2.569859313195386e-09,-4.899596047459051e-09,1.025507478709754e-07,60.0,62.0,269.0,271.0,210.0,210.0,0.0,0.0,0.5487356678182387
7,7,7.0,28851.0,2.0905,-16.9829,0.6433,1.339,18.0489,0.0,30823675900.0,0.0,68049531000.0,71918248.0,23895214.0,8.097793,0.0,169.57208420069918,167.00219857246717,0.0402034840116434,1.0418875077601668,1.3998671134123353,169.36853064721709,167.2106891074339,0.0400837082288927,1.0417575038287303,1.4040059115677652,0.2711652997746436,0.2715508562961287,10.37120357348521,10.67495716107243,35.04859965195963,35.29472724393599,5.591209224468939,5.727421646718352,2.703903906870356,8.38867345541746,0.4852558461548169,-1.537554296875363,-0.4924584337990296,0.2360415971539451,2.458510178567227,0.0966799647056114,0.0829549439855065,0.0,0.0,0.1590332511852043,0.0827619033127563,0.1213782822169204,0.0004971615787382,5.39803063638335,1.5798285515931232,169.2841509530967,167.3768120513084,-0.2679507920046862,1.2632737957182634,3.3360685005024233e-09,6.142370786342317e-09,1.0844933693987669e-07,44.0,39.0,297.0,292.0,254.0,254.0,0.0,0.0,0.7070545600119416
8,8,8.0,29818.0,2.9657,51.1284,0.7242,4.44,18.0254,0.0,25598025700.0,560910140.0,152473977000.0,19932892.0,3425362.2,6.4166536,0.11599374,166.7044837665906,167.91464516562476,0.0466802598988871,1.0489660057746586,1.182977312103629,167.02550151268497,167.26988998581842,0.0465900166001259,1.04886671779331,1.18874015663186,0.3071019589255035,0.3069812302057793,28.75031670473124,29.376929637357573,97.9786611080882,101.18907889040683,13.34564053394914,13.688933691866833,4.502810437110317,23.415605486583164,0.5774751694340549,-2.0451494862369133,0.3157906826607526,0.0839253581607719,3.580108641424255,0.0630334008861165,0.0011337722350434,0.0038216560509554,0.0046354576374501,0.0232702192414509,0.0925773811123371,0.1048011636380556,0.0001021256508639,13.968619268139356,2.0414910706772784,167.06833699698183,167.44662178207048,0.0130420555287354,0.995098159065828,2.125734791412936e-09,2.321750537460216e-09,1.1703599269589385e-07,0.0,0.0,335.0,335.0,336.0,336.0,0.0,0.0,0.4728748417651947
9,9,9.0,30903.0,1.5111,84.6867,0.5089,4.783,18.3428,0.0,21133815800.0,0.0,283463746000.0,64133092.0,54303512.0,9.09521,0.0,168.1632098416566,167.96097071869255,0.0708935430770745,1.076302927989398,0.9429569150608318,168.21745182352743,167.9090863712002,0.0708892059884859,1.0762979038080225,0.9429650710988008,0.2268794470508514,0.2269246144393707,42.58225339306548,44.21140257500686,140.16761503947154,145.07552529810548,20.52169222975989,21.289837606883246,8.519154080215914,34.38254434395053,0.5233425342663182,-1.9225099081606245,-0.0371550890264122,0.0510326346439992,3.0297076933728944,0.08987335016575,0.0113398203192002,0.0,0.0,0.0070802801423366,0.0844789367394776,0.0558331632574193,4.0191222952006495e-05,21.04723591580003,1.4065636239530124,168.222193295618,167.99678486907806,0.0664674771601807,0.807377884738621,5.863948036143293e-09,5.403320756926078e-09,8.404348687614328e-08,0.0,0.0,335.0,335.0,336.0,336.0,0.0,0.0,0.2838984939544942
10,10,10.0,32367.0,1.5513,11.1372,0.6872,4.179,18.3622,0.0,20385673200.0,565139840.0,146152817000.0,14735035.0,1496556.5,5.891516,0.26743457,167.26678767096897,165.98574979950487,0.0644338352737191,1.068871489482062,-0.6727997235320825,168.15654389318678,166.2391588089984,0.064148349224504,1.0685454250909825,-0.6671609543922472,0.2353096770736838,0.2354005016656859,36.973964476884255,38.2659989116258,118.97799322110264,120.52167042939776,15.764968676210634,16.28199875177553,6.801063026187833,30.03148323457734,0.5823023576474715,-1.7441665772100154,0.1311041083615247,0.0572085861603882,3.224999913597961,0.186206952120246,0.0052772980451304,0.0,0.0,0.0666035082935766,0.1284424893237265,0.1143574011896938,4.952359050880647e-05,18.0498500759818,1.64120290691168,168.43298457283137,165.154247876827,0.0494369677093581,0.0107209670099076,6.179884935203092e-09,5.694440049601704e-09,8.857156906005108e-08,0.0,0.0,333.0,335.0,334.0,336.0,0.0,0.0,0.5529368652405942
