# Results of Galfit fitting to the stellar mass projections of EAGLE galaxies at z=0.1
#
# COLUMN 1	[-]	Unique galaxy ID
# COLUMN 2	[-]	best-fit integrated stellar mass log(Mstar/Msun) from Galfit 
# COLUMN 3	[-]	uncertainty on the best-fit integrated stellar mass log(Mstar/Msun) from Galfit
# COLUMN 4	[kpc]	best-fit semi-major axis from Galfit 
# COLUMN 5	[kpc]	uncertainty on the best-fit semi-major axis from Galfit 
# COLUMN 6	[-]	best-fit Sersic index from Galfit
# COLUMN 7	[-]	uncertainty on the best-fit Sersic index from Galfit
# COLUMN 8	[-]	best-fit axis ratio from Galfit
# COLUMN 9	[-]	uncertainty on the best-fit axis ratio from Galfit
# COLUMN 10	[deg]	best-fit position angle from Galfit 
# COLUMN 11	[deg]	uncertainty on the best-fit position angle from Galfit
# COLUMN 12	[-]	quality flag (see description in Section 3.2.3)
#
GalaxyID,galfit_lmstar,galfit_dlmstar,galfit_re,galfit_dre,galfit_n,galfit_dn,galfit_q,galfit_dq,galfit_PA,galfit_dPA,flag
2,10.827,0.0,2.608,0.015,0.8827,0.02,0.4161,0.0,34.0155,0.24,0
13632,10.848,0.004,2.629,0.023,2.5954,0.06,0.7669,0.01,-40.9264,1.07,0
21794,10.592,0.004,3.964,0.045,1.224,0.03,0.4938,0.0,9.909199999999998,0.49,0
23302,10.647,0.0,1.327,0.015,2.7181,0.12,0.5809,0.01,52.9905,0.84,0
24478,10.383,0.004,4.723,0.068,0.9181,0.03,0.4107,0.01,63.5039,0.54,0
26264,10.54,0.0,1.408,0.015,1.1118,0.06,0.5907,0.01,82.3119,0.86,0
27474,10.43,0.004,2.049,0.038,2.3499,0.12,0.7767,0.01,37.6299,2.37,0
28851,10.46,0.004,1.284,0.023,1.9714,0.12,0.6178,0.01,-14.736800000000017,1.26,0
29818,10.392,0.012,3.488,0.158,3.2376,0.19,0.6241,0.02,49.4955,1.58,0
30903,10.282,0.008,4.462,0.136,1.5911,0.07,0.5051,0.01,83.537,1.1,0
32367,10.28,0.008,2.908,0.113,2.5223,0.17,0.755,0.02,19.377300000000005,3.09,0
33116,10.173,0.016,5.408,0.354,2.4211,0.19,0.4275,0.02,31.7532,1.3,0
33641,10.113,0.008,3.119,0.068,1.0654,0.06,0.4739,0.01,-86.5881,1.14,0
34157,10.472,0.004,3.515,0.038,1.0421,0.03,0.3515,0.0,-40.28059999999999,0.38,0
35658,10.343,0.008,5.592,0.166,1.4816,0.06,0.4808,0.01,4.956299999999999,0.93,0
36469,10.049,0.012,2.256,0.106,2.4209,0.28,0.7501,0.03,-82.5439,4.68,0
37177,10.353,0.008,3.57,0.083,1.3698,0.05,0.8059,0.01,-2.679300000000012,2.97,0
37879,10.271,0.004,1.97,0.038,1.5535,0.1,0.5248,0.01,-48.720500000000015,1.12,0
