GalaxyID,MassType_Star,MassType_Gas,MassType_DM,MassType_BH,BlackHoleMass,InitialMassWeightedStellarAge,StarFormationRate
2,7.3412665E10,0.0,1.21672827E11,8.6960102E8,7.8847322E8,9.8952465,0.0
13632,7.2376558E10,0.0,1.36894054E11,1.21930848E8,7.7330176E7,9.399528,0.0
21794,4.2687422E10,0.0,1.02476636E11,5.9539836E7,4.814604E7,8.438926,0.0
23302,4.6032544E10,0.0,1.30640749E11,4.8933812E7,3.0662012E7,7.254252,0.0
24478,2.53260964E10,0.0,9.5195652E10,6.6047836E7,5.9013748E7,9.088057,0.0
26264,3.6627849E10,0.0,6.3841882E10,1.009422E8,7.3607744E7,9.888254,0.0
27474,2.77466911E10,0.0,9.3402079E10,7.302196E7,6.482958E7,10.377588,0.0
28851,3.08236759E10,0.0,6.8049531E10,7.1918248E7,2.3895214E7,8.097793,0.0
29818,2.55980257E10,5.6091014E8,1.52473977E11,1.9932892E7,3425362.2,6.4166536,0.11599374
30903,2.11338158E10,0.0,2.83463746E11,6.4133092E7,5.4303512E7,9.09521,0.0
32367,2.03856732E10,5.6513984E8,1.46152817E11,1.4735035E7,1496556.5,5.891516,0.26743457
33116,1.3611606E10,0.0,1.14643927E11,1.6335147E7,1951996.6,7.7352343,0.0
33641,1.39983104E10,0.0,1.32521591E11,1.0865242E7,965238.3,8.722791,0.0
34157,3.12757023E10,0.0,5.0142777E10,4.1310584E7,3.1759236E7,9.526835,0.0
35658,2.42159084E10,0.0,1.13315709E11,1.4516975E7,1493041.2,7.898739,0.0
36469,1.13326879E10,0.0,1.34315164E11,9105195.0,949700.5,7.769258,0.0
37177,2.29717852E10,0.0,7.8297194E10,1.085399E7,3083939.0,8.581339,0.0
37879,1.97066506E10,0.0,5.7423757E10,2.8034106E7,2.2159704E7,9.174948,0.0
38952,1.85034691E10,0.0,4.1911685E10,7.1482352E7,6.5924828E7,9.594772,0.0
40905,1.31293245E10,0.0,9.2122325E10,1.4578721E7,1609548.6,6.9448395,0.0
42234,2.12111053E10,1.80551232E9,2.44984119E11,1.4548729E7,5466799.5,6.477299,0.7066836
43262,2.19913277E10,0.0,3.798519E10,2.6051864E7,2.4791814E7,9.193968,0.0
44049,1.58633462E10,0.0,6.123391E10,0.0,0.0,8.554281,0.0
44842,1.57738271E10,0.0,7.993566E10,1.2798981E7,1231521.9,8.095734,0.0
47025,1.6252203E10,0.0,7.526264E10,1.432756E7,7672966.0,8.620976,0.0
48442,1.50534072E10,0.0,5.324519E10,2.677778E7,2.4635188E7,10.332836,0.0
50759,3.15643003E10,5.0829076E9,1.63022193E11,1.087286E7,1205329.9,7.770983,2.389063
52523,1.10150492E10,2.28838032E8,8.4821959E10,1.0893582E7,986189.1,6.7362328,0.1334417
54528,1.50246175E10,0.0,5.8994356E10,1.450215E7,4206629.0,8.049236,0.0
56544,1.05559634E10,0.0,3.8372995E10,1.091499E7,1270197.0,8.822393,0.0
56966,2.45134909E10,0.0,7.7337387E10,3.1379472E7,2.1199058E7,7.7259383,0.0
57962,1.55699651E10,0.0,3.8828659E10,2.7210428E7,5344849.0,6.96007,0.0
