# Results of Galfit fitting to the mock r-band images of EAGLE galaxies at z=0.1
#
# COLUMN 1	[-]	Unique galaxy ID
# COLUMN 2	[mag]	best-fit integrated AB magnitude from Galfit
# COLUMN 3	[mag]	uncertainty on the best-fit integrated AB magnitude from Galfit
# COLUMN 4	[kpc]	best-fit semi-major axis from Galfit
# COLUMN 5	[kpc]	uncertainty on the best-fit semi-major axis from Galfit
# COLUMN 6	[-]	best-fit Sersic index from Galfit
# COLUMN 7	[-]	uncertainty on the best-fit Sersic index from Galfit
# COLUMN 8	[-]	best-fit axis ratio from Galfit
# COLUMN 9	[-]	uncertainty on the best-fit axis ratio from Galfit
# COLUMN 10	[deg]	best-fit position angle from Galfit 
# COLUMN 11	[deg]	uncertainty on the best-fit position angle from Galfit
# COLUMN 12	[-]	quality flag (see description in Section 3.2.3)
#
GalaxyID,galfit_mag,galfit_dmag,galfit_re,galfit_dre,galfit_n,galfit_dn,galfit_q,galfit_dq,galfit_PA,galfit_dPA,flag
2,17.2393,0.0,2.769,0.015,1.0195,0.02,0.4366,0.0,33.6793,0.35,0
13632,17.1314,0.01,3.021,0.045,2.4504,0.07,0.7375,0.01,-39.9075,1.2,0
21794,17.693,0.01,4.102,0.06,1.2601,0.03,0.5013,0.01,10.5816,0.65,0
23302,17.4702,0.01,1.466,0.023,3.4987,0.18,0.5833,0.01,54.9974,1.03,0
24478,18.1947,0.01,4.783,0.098,1.0084,0.04,0.4284,0.01,62.1109,0.75,0
26264,18.0783,0.01,1.483,0.023,1.2453,0.09,0.6343,0.01,80.7296,1.46,0
27474,18.1948,0.02,2.383,0.083,2.6561,0.19,0.8164,0.02,44.0208,4.26,0
28851,18.0489,0.01,1.339,0.03,2.0905,0.15,0.6433,0.02,-16.9829,1.72,0
29818,18.0254,0.03,4.44,0.256,2.9657,0.18,0.7242,0.02,51.1284,2.68,0
30903,18.3428,0.02,4.783,0.173,1.5111,0.08,0.5089,0.01,84.6867,1.27,0
32367,18.3622,0.02,4.179,0.158,1.5513,0.08,0.6872,0.02,11.1372,2.4,0
33116,18.5227,0.05,4.921,0.422,3.0169,0.28,0.4745,0.02,28.5012,1.69,0
33641,18.8635,0.02,3.119,0.09,0.9705,0.06,0.5577,0.02,-88.901,1.79,0
34157,18.1107,0.01,3.573,0.053,1.0893,0.04,0.3848,0.01,-40.2895,0.59,0
35658,18.2086,0.02,5.694,0.196,1.4535,0.06,0.5046,0.01,5.5469,1.18,0
36469,18.9551,0.04,2.513,0.158,2.4464,0.32,0.6896,0.04,-88.2883,4.24,0
37177,18.2963,0.02,3.694,0.106,1.2851,0.05,0.8066,0.02,-6.421,3.72,0
37879,18.5681,0.01,2.166,0.053,1.6089,0.14,0.5286,0.02,-50.9365,1.52,0
38952,18.4482,0.03,3.434,0.143,1.7198,0.1,0.8433,0.02,56.6627,5.76,0
40905,18.6011,0.04,4.463,0.279,2.1017,0.17,0.5942,0.02,-20.6854,2.32,0
42234,18.2358,0.02,5.517,0.188,1.2761,0.05,0.6533,0.01,77.2451,2.03,0
43262,18.5164,0.01,1.739,0.03,1.0689,0.1,0.5073,0.02,-35.471,1.3,0
44049,18.6705,0.04,4.548,0.279,1.6594,0.12,0.9005,0.03,78.6111,12.99,0
44842,18.6244,0.04,5.094,0.317,1.7124,0.12,0.7809,0.03,84.5503,5.36,0
47025,18.6385,0.02,2.302,0.068,1.7676,0.16,0.7114,0.02,-46.6496,3.12,0
48442,18.8447,0.02,2.105,0.053,1.3096,0.12,0.9245,0.03,-2.9437,14.57,0
50759,17.882,0.01,4.972,0.098,0.9801,0.03,0.8168,0.01,-88.3842,2.98,0
52523,18.5502,0.06,6.098,0.58,2.4497,0.22,0.7524,0.03,8.9246,5.22,0
54528,18.679,0.04,3.374,0.188,2.031,0.17,0.7223,0.03,0.6395,3.79,0
56544,19.118,0.03,2.349,0.106,1.5152,0.18,0.8843,0.04,9.9035,12.48,0
56966,18.0584,0.03,3.832,0.158,2.2771,0.12,0.7946,0.02,-35.2945,3.47,0
57962,18.4592,0.03,3.347,0.158,2.0446,0.14,0.7863,0.02,19.3461,4.27,0
61600,18.846,0.05,3.843,0.302,2.2401,0.23,0.6885,0.03,59.8093,4.09,0
64010,19.0497,0.03,3.395,0.143,1.1484,0.09,0.6263,0.02,15.7913,2.89,0
65696,18.735,0.01,1.608,0.03,0.6375,0.1,0.5748,0.02,36.7514,1.78,0
68767,19.2696,0.02,1.636,0.068,1.2843,0.22,0.7634,0.04,-69.846,6.18,0
70222,18.9626,0.02,2.716,0.068,0.8081,0.06,0.6392,0.02,-70.0623,2.38,0
122971,17.7749,0.0,1.403,0.023,1.4448,0.08,0.6852,0.01,-67.1125,1.44,0
124304,17.5641,0.01,1.942,0.038,3.1009,0.15,0.8774,0.01,55.921,4.19,0
127772,17.8568,0.01,3.755,0.053,0.9854,0.03,0.6212,0.01,49.1782,1.01,0
130678,17.9916,0.01,2.126,0.023,0.8307,0.05,0.3648,0.01,0.9687,0.54,0
131933,18.1511,0.02,2.691,0.068,2.1125,0.13,0.596,0.01,-46.0839,1.44,0
132809,17.1371,0.01,6.505,0.136,1.9466,0.04,0.6619,0.01,55.0036,1.0,0
135178,18.0152,0.02,4.678,0.173,1.8071,0.08,0.8104,0.02,-24.9354,3.68,0
136322,18.728,0.04,4.809,0.241,1.2522,0.08,0.8266,0.03,-7.8561,6.96,0
137389,18.4268,0.04,6.424,0.415,2.2207,0.16,0.406,0.01,69.7839,1.21,0
138061,18.415,0.01,3.066,0.053,0.8498,0.04,0.4951,0.01,-25.2806,0.96,0
138873,18.5064,0.07,7.145,0.89,3.1989,0.33,0.5696,0.03,78.3456,2.68,0
139400,18.542,0.04,6.784,0.369,1.3188,0.08,0.6714,0.02,81.7384,3.25,0
140114,17.9513,0.01,1.026,0.038,4.9264,0.45,0.7579,0.02,70.746,3.51,0
141442,18.8641,0.03,2.847,0.136,1.6753,0.15,0.79,0.03,-34.1424,5.51,0
141999,18.3523,0.04,6.496,0.4,1.8484,0.12,0.7112,0.02,47.8007,3.44,0
142886,18.8035,0.03,2.717,0.121,1.9334,0.19,0.6363,0.03,-84.639,2.8,0
153309,18.8466,0.02,4.168,0.136,0.6615,0.05,0.854,0.02,-44.8928,7.22,0
156798,17.2279,0.01,4.741,0.098,1.949,0.05,0.8621,0.01,-0.2884,2.8,0
159350,18.0387,0.02,3.411,0.083,1.4298,0.05,0.9374,0.02,-25.297,10.41,0
160527,18.1875,0.02,4.108,0.121,1.2998,0.05,0.8448,0.02,34.6667,4.56,0
165250,17.6441,0.01,5.6,0.121,1.2908,0.03,0.7086,0.01,40.6544,1.56,0
168530,18.3358,0.01,2.84,0.053,0.8267,0.04,0.8273,0.01,-68.8277,3.51,0
169859,18.6536,0.02,2.383,0.06,1.4112,0.11,0.7186,0.02,76.2225,3.01,0
172898,18.3255,0.01,3.264,0.06,0.8604,0.04,0.7383,0.01,-44.7296,2.24,0
178838,18.1681,0.01,1.949,0.038,2.1517,0.15,0.561,0.02,-81.3994,1.35,0
180003,18.8635,0.03,3.279,0.158,1.6959,0.15,0.5543,0.02,-31.5649,2.18,0
180676,18.3223,0.02,3.247,0.098,1.4885,0.07,0.7731,0.02,-85.3682,3.16,0
197364,16.2385,0.01,7.32,0.143,3.2552,0.05,0.8475,0.01,-47.3889,1.53,0
210844,18.7445,0.02,3.877,0.121,0.9094,0.06,0.648,0.02,-3.0514,2.35,0
213585,18.2609,0.02,3.217,0.09,1.8282,0.11,0.5011,0.01,-50.6151,1.12,0
217859,18.9466,0.03,2.867,0.121,1.1354,0.08,0.9955,0.03,-2.0468,282.53,0
222320,18.9271,0.03,4.89,0.196,0.9859,0.07,0.4608,0.02,34.3652,1.57,0
222927,18.6284,0.02,4.605,0.128,0.9355,0.05,0.4221,0.01,27.0852,1.02,0
223470,18.5074,0.02,2.107,0.053,1.887,0.16,0.6503,0.02,2.0135,2.27,0
234331,18.2551,0.02,7.965,0.181,0.6816,0.04,0.3901,0.01,-1.1318,0.78,0
241396,18.6997,0.03,3.149,0.121,1.7036,0.14,0.5504,0.02,81.5691,1.85,0
244671,18.6047,0.03,3.282,0.143,1.6143,0.11,0.914,0.03,29.5484,12.25,0
246135,19.0047,0.03,2.192,0.09,1.7233,0.2,0.9554,0.04,-85.1723,31.85,0
246800,18.7905,0.02,4.132,0.151,1.0349,0.07,0.5802,0.02,53.5347,2.02,0
247998,18.4852,0.03,3.546,0.173,1.9637,0.14,0.7883,0.02,68.4526,4.5,0
576778,19.0537,0.03,3.38,0.143,1.1805,0.1,0.5833,0.02,-80.5984,2.52,0
578842,18.7504,0.02,4.492,0.158,1.0429,0.07,0.4904,0.01,0.5287,1.48,0
